חותמת זמן,שם הקורס בו השתתפת,וותק בהוראה,מסגרת חינוך בהן את/ה מלמד/ת,באיזה שלב חינוך את/ה מלמד/ת  ברוב שעות ההוראה שלך,מגזר,פיקוח,לאיזה מחוז את/ה שייך.כת?,1. אני יכול.ה ליישם ולהשתמש במה שלמדתי במסגרת תפקידי,"2. אני מקדם נושאים בביה""ס/ בכתה/ בגני הילדים בעקבות הלמידה",3. במפגשים חקרנו הצלחות/ פעולות כחלק מהחיבור לעבודה בשטח,4. הלמידה זימנה לי אפשרות העמקה בנושא שעניין אותי,5. התעוררו בי שאלות חדשות וסקרנות על החומר הנלמד,6. הלמידה הייתה פעילה ושיתופית,"7. בעקבות התהליכים שעברתי, שיפרתי את איכות ההוראה שלי","8. התנסתי במגוון דרכי למידה (עבודה בקבוצות, תרגול, התנסות ושימוש באמצעים טכנולוגים"")","9. בתהליך הלמידה, היו לי מגוון הזדמנויות לבחירה ולעבודה עצמית","10. במידה והיית צריך.ה לבחור מחדש, היית בוחר.ת לחזור על הקורס/ תהליך הלמידה",11. באיזו מידה תמליץ לחברך על קורס זה,"בנימה אישית, רציתי לאמר ש......."
4/22/2025 19:07:07,כלים אימוניים להתמודדות עם הפרעת קשב,11-15 שנים,חינוך מיוחד,יסודי,יהודי,ממלכתי,מחוז תל אביב,4,3,4,4,4,5,3,3,4,4,4,
4/22/2025 19:07:27,כלים אימוניים להתמודדות עם הפרעת קשב,11-15 שנים,חינוך רגיל,יסודי,יהודי,ממלכתי,מחוז מרכז,5,5,5,5,5,5,5,5,5,5,5,קורס מדהים עם מדריכה מדהימה
4/22/2025 19:07:48,כלים אימוניים להתמודדות עם הפרעת קשב,6-10 שנים,חינוך מיוחד,קדם יסודי,יהודי,ממלכתי,מחוז מרכז,5,5,5,5,5,5,4,5,4,5,5,מרצה מהממת ומקצועית
4/22/2025 19:07:54,כלים אימוניים להתמודדות עם הפרעת קשב,6-10 שנים,חינוך רגיל,יסודי,יהודי,ממלכתי,מחוז מרכז,4,3,3,4,4,5,5,5,4,5,5,
4/22/2025 19:08:00,כלים אימוניים להתמודדות עם הפרעת קשב,6-10 שנים,חינוך מיוחד,קדם יסודי,יהודי,"חמ""ד",אחר,5,5,4,5,5,5,4,4,5,5,5,"תודה, היה ממש מענין מעשיר ומלמד"
4/22/2025 19:08:31,כלים אימוניים להתמודדות עם הפרעת קשב,11-15 שנים,חינוך רגיל,יסודי,יהודי,"חמ""ד",מחוז מרכז,5,2,4,5,5,4,4,4,4,4,4,אורלי מקצועית ביותר!!! והכי חשוב מקסימה ואנושית
4/22/2025 19:08:38,כלים אימוניים להתמודדות עם הפרעת קשב,1-5 שנים,חינוך רגיל,"חט""ב",יהודי,"חמ""ד",אחר,4,3,4,4,4,5,4,5,4,5,5,תודה רבה
4/22/2025 19:08:43,כלים אימוניים להתמודדות עם הפרעת קשב,21 שנים ומעלה,חינוך רגיל,"חט""ע",יהודי,"חמ""ד",מחוז דרום,5,4,5,5,5,5,4,5,4,5,5,מרצה מעולה!! קורס מעניין ומעשיר ולדעתי חובה לכל איש חינוך. מומלץ מאוד!!
4/22/2025 19:09:27,כלים אימוניים להתמודדות עם הפרעת קשב,6-10 שנים,חינוך רגיל,קדם יסודי,יהודי,ממלכתי,מחוז מרכז,5,4,4,5,5,5,5,5,5,5,5,"המרצה אורלי מהממת, מלהיבה על החומר שנלמד וממש מרתקת"
4/22/2025 19:09:28,כלים אימוניים להתמודדות עם הפרעת קשב,16-20 שנים,חינוך מיוחד,יסודי,יהודי,ממלכתי,מחוז תל אביב,5,5,5,5,5,5,5,5,5,5,5,אורלי מהממת! היא העבירה את ההשתלמות באופן מעניין. היא ביקשה מאיתנו לשתף בהתמודדויות וביחד חשבנו על דרכי פתרון והתייעצנו. המשימות במהלך ההשתלמות היו קשורות לעבודה בשטח ותרמו רבות. אני כבר מחכה להשתלמות הבאה שלה. 
4/22/2025 19:09:32,כלים אימוניים להתמודדות עם הפרעת קשב,1-5 שנים,חינוך מיוחד,יסודי,יהודי,ממלכתי,מחוז מרכז,5,3,4,5,5,5,4,4,4,5,5,"המרצה מדהימה!!! מעניינת, קשובה, מלמדת בצורה מעשית."
4/22/2025 19:09:37,כלים אימוניים להתמודדות עם הפרעת קשב,21 שנים ומעלה,חינוך רגיל,יסודי,יהודי,"חמ""ד","מחוז ירושלים ומנח""י",5,5,5,5,5,5,5,5,5,5,5,"אורלי העבירה קורס מדהים חשוב מעצים כל מורה בישראל צריכה ללמוד תכנים אלו.
אשמח ללמוד ממנה שוב"
4/22/2025 19:09:46,כלים אימוניים להתמודדות עם הפרעת קשב,6-10 שנים,חינוך מיוחד,"חט""ב",יהודי,ממלכתי,מחוז התיישבותי,5,5,5,5,5,5,5,5,5,5,5,"זו ההשתלמות המקצועית והמעמיקה ביותר שעשיתי. אורלי בעלת ידע רב, שהועבר בצורה ברורה ומעניינת תוך לימוד עצמי, חיבור לשטח בהמון רגישות וחוכמה. מתן מקום לשאול שאלות . פשוט נתן לי הרבה מאד בחיים האישיים והמקצועיים וכולי הערכה רבה מאד לד״ר אורלי. ממש עצוב לי שהשתלמות זו נגמרה כי היא תרמה לי מאד. הייתי מרותקת כל השלוש שעות של הקורס . תודה על הזכות ואשמח להעמקה וקורס המשך. נטע"
4/22/2025 19:09:46,כלים אימוניים להתמודדות עם הפרעת קשב,11-15 שנים,חינוך מיוחד,קדם יסודי,יהודי,"חמ""ד",מחוז מרכז,4,4,4,4,4,5,4,5,5,5,5,"תודה רבה לאורלי על השיתוף, העברת הדברים בצורה ברורה ונעימה. על מענה לשאלות ורגישות."
4/22/2025 19:09:51,כלים אימוניים להתמודדות עם הפרעת קשב,6-10 שנים,חינוך מיוחד,יסודי,יהודי,ממלכתי,מחוז מרכז,5,5,5,5,5,5,5,5,5,5,5,ההשתלמות הועברה במקצועיות וברגישות. עם העשרה בפן הרגשי ובפן האישי. תודה על האובייקטיביות ועל המודלינג האישי 
4/22/2025 19:10:26,כלים אימוניים להתמודדות עם הפרעת קשב,1-5 שנים,חינוך רגיל,יסודי,יהודי,ממלכתי,מחוז מרכז,5,4,4,5,4,4,5,4,4,4,5,למדתי הרבה שיטות שעזרו לי איך להתמודד עם התלמידים 
4/22/2025 19:10:33,כלים אימוניים להתמודדות עם הפרעת קשב,11-15 שנים,חינוך רגיל,יסודי,יהודי,ממלכתי,מחוז תל אביב,5,5,5,5,5,5,4,5,5,5,5,"אורלי היא מרצה שמעבירה את החומר הנלמד בדרך מקצועית, מעניינת שתרמה לי רבות! הרגשתי כי קיבלתי כלים רבים בתום ההשתלמות ועם צידה לדרך שתתרום לי מאוד. ישר כח לאורלי היקרה"
4/22/2025 19:10:36,כלים אימוניים להתמודדות עם הפרעת קשב,11-15 שנים,חינוך מיוחד,יסודי,בדואי,ממלכתי,מחוז צפון,5,5,5,5,5,5,5,5,5,5,5,"תודה רבה על השתלמות מקצועית ברמה גבוה , מהנה ומלמדת . המרצה התייחסה וענתה לכל השאלות והתהיות , שיתפה במידע ובחוויות אישיות ואשמח להשתתף בהשתלמויות אחרות עם המרצה אורלי ."
4/22/2025 19:10:48,כלים אימוניים להתמודדות עם הפרעת קשב,16-20 שנים,חינוך מיוחד,יסודי,יהודי,ממלכתי,מחוז דרום,5,5,5,5,5,5,5,5,5,5,5,"הקורס היה מעולה, מעשיר, דוגמאות אישיות, העמקה בחומר , מאוד מעניין ולמדתי רבות , אורלי מיוחדת ומאוד מעניינת , תודה על ההזדמנות "
4/22/2025 19:10:54,כלים אימוניים להתמודדות עם הפרעת קשב,1-5 שנים,חינוך רגיל,יסודי,ערבי,ממלכתי,מחוז מרכז,4,4,4,5,5,5,5,4,4,5,5,"

בנימה אישית, רציתי לומר שהקורס בנושא הפרעת קשב היה עבורי הרבה מעבר ללמידה אקדמית. הוא פתח לי פתח לעולם מרתק, מלא ברגישות, הבנה וכלים משמעותיים להתמודדות אמיתית מהשטח. בזכות הקורס הזה הרגשתי שאני לא רק לומדת – אלא גם רואה, מבינה ומתחברת מחדש. אני יוצאת ממנו עם תובנות עמוקות ותחושת שליחות, ובעיקר עם הרבה הערכה על הדרך בה הועבר, בגובה העיניים ועם לב פתוח.



"
4/22/2025 19:12:36,כלים אימוניים להתמודדות עם הפרעת קשב,6-10 שנים,חינוך רגיל,יסודי,יהודי,ממלכתי,מחוז מרכז,5,5,5,5,5,5,5,5,5,5,5,אורלי פשוט השראה ומודל לחיקוי. שינתה לי את התפיסה שלי כאמא ומורה לגבי הנושא
4/22/2025 19:13:54,כלים אימוניים להתמודדות עם הפרעת קשב,6-10 שנים,חינוך רגיל,יסודי,יהודי,"חמ""ד",מחוז תל אביב,5,3,3,4,4,3,3,2,2,3,4,תודה רבה על הקורס. היה מאוד מלמד ומעשיר
4/22/2025 19:14:32,כלים אימוניים להתמודדות עם הפרעת קשב,11-15 שנים,חינוך מיוחד,יסודי,יהודי,"חמ""ד",מחוז מרכז,5,4,4,5,4,5,4,4,4,5,5,"אורלי תודה רבה על למידה וכלים מעשיים ופרקטיים. את היית המודלינג והסיפור האישי שנתן השראה והעביר את הכלים באופן בהיר, יישומי ופרקטי. תודה "
4/22/2025 19:16:45,כלים אימוניים להתמודדות עם הפרעת קשב,6-10 שנים,חינוך רגיל,קדם יסודי,יהודי,ממלכתי,מחוז מרכז,5,4,4,5,5,5,5,5,5,5,5,"מרצה מרתקת,משתפת ומעבירה את החומר בצורה מאוד נעימה "
4/22/2025 20:59:28,כלים אימוניים להתמודדות עם הפרעת קשב,21 שנים ומעלה,חינוך מיוחד,קדם יסודי,יהודי,"חמ""ד",מחוז תל אביב,5,3,5,4,4,5,4,5,5,5,5,"קורס מעניין ומעשיר מאוד את ארגז הכלים המקצועי והאישי לעבודה עם ילדים   הקורס הועבר ע""י המרצה בצורה מגוונת ולווה במצגות , סרטים ושירים אשר הסבירו בצורה טובה את החומר הלימודי.
יישר כוח
 "
4/23/2025 7:39:33,כלים אימוניים להתמודדות עם הפרעת קשב,1-5 שנים,חינוך רגיל,"חט""ב",יהודי,ממלכתי,מחוז מרכז,5,5,5,5,5,5,5,5,5,5,5,
4/23/2025 12:49:30,כלים אימוניים להתמודדות עם הפרעת קשב,11-15 שנים,חינוך רגיל,יסודי,יהודי,"חמ""ד",מחוז דרום,5,5,5,5,5,5,5,5,5,5,5,"הקורס כל כך חשוב וחיוני לכל מורה והורה ובכלל..
הכלים מאפשרים התמודדות, הכלה והבנה מול בעלי קושי קשבי.
תלמידים, ילדים אישיים ומבוגרים. תודה על הזכות!"